
Conexiones activas

  Proto  Direcci¢n local          Direcci¢n remota        Estado           PID
  TCP    127.0.0.1:54535        127.0.0.1:54536        ESTABLISHED     10768
  TCP    127.0.0.1:54536        127.0.0.1:54535        ESTABLISHED     10768
  TCP    127.0.0.1:54537        127.0.0.1:54538        ESTABLISHED     10768
  TCP    127.0.0.1:54538        127.0.0.1:54537        ESTABLISHED     10768
  TCP    127.0.0.1:58595        0.0.0.0:0              LISTENING       1068
  TCP    127.0.0.1:58595        127.0.0.1:58601        ESTABLISHED     1068
  TCP    127.0.0.1:58595        127.0.0.1:58603        ESTABLISHED     1068
  TCP    127.0.0.1:58601        127.0.0.1:58595        ESTABLISHED     1068
  TCP    127.0.0.1:58603        127.0.0.1:58595        ESTABLISHED     1068
  TCP    127.0.0.1:58772        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58773        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58774        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58777        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58780        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58783        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58784        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58785        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58787        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58788        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58789        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58790        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58791        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58793        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58794        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58795        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58796        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58798        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58800        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58804        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58806        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58808        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58809        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58810        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58811        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58812        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58814        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58815        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58821        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58823        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58828        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58832        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58833        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58834        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58835        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58836        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58838        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58839        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58840        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58841        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58842        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58844        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58845        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58846        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58847        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58848        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58850        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58851        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58852        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58853        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58854        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58856        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58857        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58859        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58860        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58862        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58863        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58864        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58865        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58866        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58868        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58869        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58870        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58871        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58872        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58874        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58875        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58876        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58877        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58878        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58880        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58882        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58883        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58884        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58886        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58887        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58888        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58889        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58890        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58892        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58893        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58894        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58895        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58896        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58900        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58901        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58902        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58904        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58905        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58908        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58909        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58911        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58912        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58913        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58914        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58915        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58917        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58918        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58919        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58920        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58921        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58923        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58924        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58925        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58926        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58927        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58929        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58930        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58932        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58933        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58934        127.0.0.1:1970         SYN_SENT        1068
  TCP    127.0.0.1:58935        127.0.0.1:6880         TIME_WAIT       0
  TCP    127.0.0.1:58936        127.0.0.1:6880         TIME_WAIT       0
  TCP    172.30.80.1:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.1.48:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.1.48:19000     192.168.1.48:54468     ESTABLISHED     20492
  TCP    192.168.1.48:19000     192.168.1.48:54469     ESTABLISHED     20492
  TCP    192.168.1.48:19000     192.168.1.48:54495     ESTABLISHED     20492
  TCP    192.168.1.48:19000     192.168.1.89:52166     ESTABLISHED     20492
  TCP    192.168.1.48:19000     192.168.1.89:52168     ESTABLISHED     20492
  TCP    192.168.1.48:49425     20.54.36.229:443       ESTABLISHED     9164
  TCP    192.168.1.48:49713     35.169.76.132:443      ESTABLISHED     8784
  TCP    192.168.1.48:49893     31.13.83.52:443        ESTABLISHED     3824
  TCP    192.168.1.48:50185     35.174.127.31:443      ESTABLISHED     3824
  TCP    192.168.1.48:52250     23.23.176.28:443       ESTABLISHED     8784
  TCP    192.168.1.48:52294     35.169.205.0:443       ESTABLISHED     8784
  TCP    192.168.1.48:53724     54.197.238.153:443     ESTABLISHED     8784
  TCP    192.168.1.48:53848     35.169.205.0:443       ESTABLISHED     8784
  TCP    192.168.1.48:54000     192.168.1.107:8009     ESTABLISHED     3824
  TCP    192.168.1.48:54032     3.217.21.103:7010      ESTABLISHED     8564
  TCP    192.168.1.48:54042     35.171.46.63:443       ESTABLISHED     8784
  TCP    192.168.1.48:54061     20.54.37.64:443        ESTABLISHED     9164
  TCP    192.168.1.48:54082     142.250.185.10:443     ESTABLISHED     20668
  TCP    192.168.1.48:54083     51.140.246.137:443     ESTABLISHED     15236
  TCP    192.168.1.48:54098     13.38.182.143:27017    ESTABLISHED     12960
  TCP    192.168.1.48:54099     52.47.134.43:27017     ESTABLISHED     12960
  TCP    192.168.1.48:54101     15.188.13.229:27017    ESTABLISHED     12960
  TCP    192.168.1.48:54214     37.120.142.66:443      ESTABLISHED     4264
  TCP    192.168.1.48:54215     82.102.17.114:443      ESTABLISHED     4264
  TCP    192.168.1.48:54468     192.168.1.48:19000     ESTABLISHED     1068
  TCP    192.168.1.48:54469     192.168.1.48:19000     ESTABLISHED     1068
  TCP    192.168.1.48:54488     185.60.216.174:80      ESTABLISHED     8784
  TCP    192.168.1.48:54489     185.60.216.174:80      ESTABLISHED     8784
  TCP    192.168.1.48:54495     192.168.1.48:19000     ESTABLISHED     1068
  TCP    192.168.1.48:55693     184.72.145.94:443      ESTABLISHED     8784
  TCP    192.168.1.48:55871     144.2.14.25:443        CLOSE_WAIT      23484
  TCP    192.168.1.48:56567     192.168.1.107:8008     ESTABLISHED     3824
  TCP    192.168.1.48:56586     52.149.21.60:443       ESTABLISHED     13264
  TCP    192.168.1.48:56593     5.45.73.161:443        ESTABLISHED     3824
  TCP    192.168.1.48:56675     52.149.21.60:443       ESTABLISHED     13264
  TCP    192.168.1.48:56985     164.92.135.100:443     ESTABLISHED     8784
  TCP    192.168.1.48:56986     164.92.118.150:443     ESTABLISHED     8784
  TCP    192.168.1.48:56987     207.148.13.224:443     ESTABLISHED     8784
  TCP    192.168.1.48:57418     52.167.85.21:443       ESTABLISHED     3824
